recordId,steamAppId
recv83nQgycXzo,1608700
recv841yeSsIbS,1307710
recv841yeSJybv,1824220
recv841yeS1OKs,681280
recv83nQgyYj0k,379720
recv83nQgy2Kma,2300
recv83nQgyIlNI,1148590
recv83nQgyKzvn,208200
recv83nQgyPtOQ,205100
recv83nQgy6GW5,1954200
recv83nQgyeEaF,782330
recv83nQgykYjv,2290180
recv83nQgyNnFj,612880
recv83nQgyDIAf,646570
recv83nQgy0mO7,268050
recv83nQgy9XMQ,350080
recv83nQgyPUeq,1449500
recv83nQgyZ70W,1599660
recv841yeSdgj1,1194810
recv841yeSs66H,1599660
recv841yeSqSL9,1283410
recv83nQgypDi4,
recv83nQgyKFac,
recv83nQgykD64,1659420
recv83nQgyMzwe,1496590
recv83nQgyK2be,2379390
recv83nQgyH7WK,1475810
recv83nQgycXxo,936790
recv83nQgyQDCT,2221920
recv83nQgypMvs,532210
recv83nQgyJxbZ,851850
recv83nQgyjWQB,310950
recv83nQgy74UZ,837470
recv83nQgyfXGi,340170
recv83nQgy8TAP,548570
recv83nQgy15fF,1647550
recv83nQgyZ4TT,983970
recv841yeSWu0g,1517290
recv841yeS0L5P,1672970
recv841yeSNGyH,678960
recv83nQgycXMm,
recv83nQgyRibr,
recv83nQgyHBnM,803330
recv83nQgyBnnf,2420110
recv83nQgyOVrj,1577120
recv83nQgy11Hx,418370
recv83nQgy4e2o,680420
recv83nQgyCerx,775500
recv83nQgyAP77,397540
recv83nQgyJ34z,389730
recv83nQgyqUt4,502500
recv83nQgyif1b,1007040
recv83nQgywhQh,987720
recv83nQgyRt2a,525240
recv83nQgyq0Yl,441830
recv83nQgym3hY,1726190
recv841yeSSb9I,1493750
recv841yeScb3M,1190170
recv841yeSUcyl,1314563
recv841yeS6IrO,1030840
recv841yeSmheT,1009290
recv83nQgyUgcC,
recv83nQgyZUqt,
recv83nQgyPHdw,924970
recv83nQgysJwR,678950
recv83nQgykkTu,601150
recv83nQgyaKkg,601150
recv83nQgyF6r7,554620
recv83nQgyPytr,319630
recv83nQgymSyp,1761600
recv83nQgyLYRj,517630
recv83nQgyLqHE,969760
recv83nQgyRI1p,1514930
recv83nQgy9uoF,1255630
recv841yeSzAzF,1172380
recv841yeSqDYO,1151340
recv841yeSEQaM,946030
recv83nQgyhDD3,
recv83nQgy5MHn,
recv83nQgyUeuX,15710
recv83nQgyq6QK,
recv83nQgytMif,552520
recv83nQgysGTw,939960
recv83nQgykLLZ,371660
recv83nQgySnt3,1110910
recv83nQgyNHFa,2058180
recv9oTqidB1sf,1235140
recv83nQgyWt3N,1235140
recv83nQgylayG,1388590
recv83nQgyHrBt,241930
recv83nQgyr0Px,356190
recv83nQgyoMYR,466630
recv83nQgyJqVx,700600
recv83nQgytwdH,728240
recv83nQgygxKA,1063040
recv83nQgyWFWL,1177020
recv83nQgy5DiD,560130
recv83nQgyBT7f,327030
recv83nQgyEbf4,641990
recv841yeSKoZ6,1328670
recv841yeS95gY,1294660
recv841yeSz7Cd,597820
recv83nQgyeM81,489830
recv83nQgyV4Ke,359550
recv83nQgy1dOQ,2552430
recv83nQgyWDZi,2552440
recv83nQgy5rA2,2552450
recv83nQgyTlIW,
recv83nQgyqZ9a,619390
recv83nQgypdRg,2221490
recv83nQgyPMAR,2231380
recv83nQgyfH7u,1153640
recv83nQgyjx0n,501300
recv83nQgyr7Vw,600990
recv83nQgyuGKQ,1039890
recv841yeSKkLC,1325200
recv841yeSEYsr,2950340
recv841yeSbdlr,1138850
recv83nQgyVz4U,1088710
recv83nQgySjBs,1105500
recv83nQgyCsHz,1105510
recv83nQgynbwt,48000
recv83nQgyb56P,
recv83nQgyx73x,234080
recv83nQgy1wCr,16300
recv83nQgy6Bbs,1546990
recv83nQgyXfTw,1295510
recv83nQgy2TUI,812140
recv83nQgydJR9,2436570
recv83nQgy8z7a,1072420
recv83nQgyWiTe,
recv83nQgy8qYu,574050
recv83nQgyInTm,304430
recv83nQgyDvWZ,1293160
recv83nQgymf8m,633230
recv83nQgynFGf,354380
recv83nQgyrsh9,359610
recv83nQgyAQLn,359600
recv83nQgyuJHw,911400
recv83nQgyovGc,368500
recv83nQgySk6E,1210550
recv841yeS01Uo,1271700
recv841yeSGYSA,627270
recv841yeS0c5p,1532350
recv841yeSiHY3,322500
recv841yeSv51n,1402090
recv83nQgy5LBS,
recv83nQgyLOIr,300820
recv83nQgye2ny,
recv83nQgyj9fu,1252330
recv83nQgyQDyU,582160
recv83nQgy8hnv,447040
recv83nQgynGY8,454650
recv83nQgy4IY1,972660
recv83nQgySRgh,1610460
recv83nQgyoIa1,
recv83nQgyNb1o,242550
recv83nQgyMWvn,1190400
recv841yeSYi8X,1222680
recv841yeSUDfR,1090630
recv841yeSF5mP,1307580
recv83nQgypaHq,638970
recv83nQgy9k91,3717330
recv83nQgyfpC9,3717340
recv83nQgyYqO9,381210
recv83nQgy5RL3,460930
recv83nQgyTMkW,674140
recv83nQgyDDHK,412020
recv83nQgyc24b,924980
recv83nQgykRCR,470220
recv83nQgy3j9y,2383760
recv83nQgyhMNU,562810
recv83nQgyTl8w,428660
recv841yeSTz26,1235140
recv841yeSl2Pr,1235140
recv841yeS76ns,424840
recv841yeSTyl1,1016920
recv841yeSUind,2395210
recv83nQgywOlR,
recv83nQgyPxDY,
recv83nQgymgeo,
recv83nQgy2rak,1332010
recv83nQgyZk7q,1462040
recv83nQgyNOFf,997070
recv83nQgyi7WQ,289650
recv83nQgyN58Q,242050
